VIN (1-10),DOL Vehicle ID,Make,Model,Model Year
JHMZC5F37L,139699493,HONDA,CLARITY,2020
5YJ3E1EA3L,113191473,TESLA,MODEL 3,2020
7JRH60FM0R,254878522,VOLVO,S60,2024
1N4AZ0CP7F,128966512,NISSAN,LEAF,2015
KNDPYDAH8P,256311016,KIA,SPORTAGE,2023
5YJ3E1EB5J,278276771,TESLA,MODEL 3,2018
JTMFB3FV2N,218247739,TOYOTA,RAV4 PRIME (PHEV),2022
5YJSA1E29L,260513802,TESLA,MODEL S,2020
5YJ3E1EBXJ,315607435,TESLA,MODEL 3,2018
5YJ3E1EB6J,475931452,TESLA,MODEL 3,2018
5YJ3E1EA6K,476218074,TESLA,MODEL 3,2019
5YJ3E1EBXL,151007510,TESLA,MODEL 3,2020
5YJ3E1EA5J,162215483,TESLA,MODEL 3,2018
5YJ3E1EB0J,475947622,TESLA,MODEL 3,2018
1G1FY6S01L,142885298,CHEVROLET,BOLT EV,2020
5YJ3E1EA9J,333498371,TESLA,MODEL 3,2018
JTMEB3FV2R,269690760,TOYOTA,RAV4 PRIME (PHEV),2024
1FMCU0E19R,277028181,FORD,ESCAPE,2024
5UXTA6C06N,279265318,BMW,X5,2022
YV4H60LF3R,251063459,VOLVO,XC90,2024
KNDPZDDH6S,274000940,KIA,SPORTAGE,2025
5YJYGDEF6L,109914955,TESLA,MODEL Y,2020
2C4RC1L74P,265073441,CHRYSLER,PACIFICA,2023
5YJ3E1EB7K,477726630,TESLA,MODEL 3,2019
JTMFB3FV9R,260695893,TOYOTA,RAV4 PRIME (PHEV),2024
1G1RA6S56H,111671605,CHEVROLET,VOLT,2017
WP0AC2Y19L,271869573,PORSCHE,TAYCAN,2020
5YJ3E1EC6L,2223882,TESLA,MODEL 3,2020
5YJXCBE20H,148260080,TESLA,MODEL X,2017
5YJSA1E20J,347549884,TESLA,MODEL S,2018
1N4BZ1CPXK,4616804,NISSAN,LEAF,2019
1G1RC6E49D,194184700,CHEVROLET,VOLT,2013
5YJXCBE24J,325258951,TESLA,MODEL X,2018
1G1RA6E40E,248147371,CHEVROLET,VOLT,2014
5YJXCAE2XG,229516612,TESLA,MODEL X,2016
5YJ3E1EB9L,100559266,TESLA,MODEL 3,2020
5YJSA1E18G,104083969,TESLA,MODEL S,2016
5YJYGDEE1L,110280537,TESLA,MODEL Y,2020
1G1FX6S07H,348337776,CHEVROLET,BOLT EV,2017
5YJSA1H1XE,177171165,TESLA,MODEL S,2014
1N4BZ0CPXG,474297057,NISSAN,LEAF,2016
5YJ3E1EA8L,123491973,TESLA,MODEL 3,2020
KNDJP3AE8H,348303770,KIA,SOUL,2017
1G1RC6S54H,132528364,CHEVROLET,VOLT,2017
KNDCS3LF4R,265949113,KIA,NIRO,2024
YV4H60DP3N,239970132,VOLVO,XC60,2022
5YJ3E1EB0J,476497612,TESLA,MODEL 3,2018
5YJ3E1EA7J,317419574,TESLA,MODEL 3,2018
5UX43EU06S,269983220,BMW,X5,2025
1G1FX6S09J,278265949,CHEVROLET,BOLT EV,2018
5YJSA1E28H,349584854,TESLA,MODEL S,2017
5YJXCAE48G,112677848,TESLA,MODEL X,2016
1N4AZ0CP3F,127443102,NISSAN,LEAF,2015
5UXTA6C03M,267169836,BMW,X5,2021
5YJ3E1EA4J,232861247,TESLA,MODEL 3,2018
5YJ3E1EB6J,255222929,TESLA,MODEL 3,2018
5YJ3E1EA2L,2288086,TESLA,MODEL 3,2020
1N4BZ0CPXH,247273246,NISSAN,LEAF,2017
5YJSA1E24L,6281103,TESLA,MODEL S,2020
1N4AZ0CP2F,165416751,NISSAN,LEAF,2015
1N4AZ0CP3D,205032292,NISSAN,LEAF,2013
1G1FY6S0XL,128583871,CHEVROLET,BOLT EV,2020
KNDCE3LG5L,266876767,KIA,NIRO,2020
KNDRMDLH8N,187211461,KIA,SORENTO,2022
YV4H60RM7S,279275132,VOLVO,XC60,2025
1N4AZ1CP4J,196720114,NISSAN,LEAF,2018
WVWKR7AU2K,161347420,VOLKSWAGEN,E-GOLF,2019
JA4T5UA91P,265722726,MITSUBISHI,OUTLANDER,2023
5YJSA1E29K,138128399,TESLA,MODEL S,2019
KNDCR3LF1R,277059807,KIA,NIRO,2024
5YJSA1E11H,474552837,TESLA,MODEL S,2017
2C4RC1N7XJ,203381755,CHRYSLER,PACIFICA,2018
WVWKP7AU5F,194191245,VOLKSWAGEN,E-GOLF,2015
5UXTA6C03N,208749817,BMW,X5,2022
2C4RC1S71P,277715280,CHRYSLER,PACIFICA,2023
5YJYGDEE5L,124511187,TESLA,MODEL Y,2020
1G1FZ6S03K,233933311,CHEVROLET,BOLT EV,2019
JTJHKCFZ6R,261435401,LEXUS,NX,2024
5YJSA1E24K,477273478,TESLA,MODEL S,2019
1N4AZ0CPXE,179243445,NISSAN,LEAF,2014
5YJ3E1EA2K,325059353,TESLA,MODEL 3,2019
KM8JFDD28R,257556708,HYUNDAI,TUCSON,2024
5YJ3E1EB9K,316441884,TESLA,MODEL 3,2019
WBY1Z6C3XH,246319314,BMW,I3,2017
2C4RC1N73P,251889074,CHRYSLER,PACIFICA,2023
5YJSA1E21H,110234603,TESLA,MODEL S,2017
5YJ3E1EA4J,438928787,TESLA,MODEL 3,2018
YV4H60CE4R,260857649,VOLVO,XC90,2024
5YJXCDE26J,109898680,TESLA,MODEL X,2018
KNDCC3LG7L,198654368,KIA,NIRO,2020
2C4RC1N7XJ,348912952,CHRYSLER,PACIFICA,2018
KNDRJDLH3N,211090435,KIA,SORENTO,2022
KNDPZDAH5P,228209740,KIA,SPORTAGE,2023
5YJSA1DN4D,194615389,TESLA,MODEL S,2013
5YJ3E1EA2J,198409263,TESLA,MODEL 3,2018
5YJXCBE28G,137479436,TESLA,MODEL X,2016
5YJYGDEE3L,112454002,TESLA,MODEL Y,2020
5UXTA6C0XM,255288099,BMW,X5,2021
5YJSA1E28H,236768675,TESLA,MODEL S,2017
1G1RA6S57H,227426888,CHEVROLET,VOLT,2017
ZASPATDW1R,259110918,ALFA ROMEO,TONALE,2024
5YJYGDEE8L,127283747,TESLA,MODEL Y,2020
JN1AZ0CP7B,122845992,NISSAN,LEAF,2011
KNDPYDDH3R,269105189,KIA,SPORTAGE,2024
1N4AZ1CP3K,117920974,NISSAN,LEAF,2019
1N4AZ0CP8F,194715979,NISSAN,LEAF,2015
JTMAB3FV6P,257622662,TOYOTA,RAV4 PRIME (PHEV),2023
YV4H60DM5R,257372202,VOLVO,XC60,2024
YV4H60PF9S,272767946,VOLVO,XC90,2025
KNDRMDLH8N,213399910,KIA,SORENTO,2022
5YJ3E1EA4K,477204339,TESLA,MODEL 3,2019
JTJCJMGA0S,282374312,LEXUS,RX,2025
5YJXCAE27H,328180583,TESLA,MODEL X,2017
5YJ3E1EBXL,102773338,TESLA,MODEL 3,2020
1G1FX6S04H,478326012,CHEVROLET,BOLT EV,2017
5UX43EU0XS,268452789,BMW,X5,2025
2C4RC1H7XJ,207334438,CHRYSLER,PACIFICA,2018
5YJXCDE26J,475644333,TESLA,MODEL X,2018
1N4BZ1CP2K,3351246,NISSAN,LEAF,2019
1N4BZ0CP6H,323840492,NISSAN,LEAF,2017
KL8CL6S04F,176537294,CHEVROLET,SPARK,2015
5YJ3E1EA9J,205926808,TESLA,MODEL 3,2018
1FMCU0LZ3M,180519230,FORD,ESCAPE,2021
5YJSA1H14E,141291391,TESLA,MODEL S,2014
5YJ3E1EB5K,5891112,TESLA,MODEL 3,2019
1G1RC6S5XG,251044041,CHEVROLET,VOLT,2016
5YJSA1E29L,2009787,TESLA,MODEL S,2020
1G1FZ6S00L,270514940,CHEVROLET,BOLT EV,2020
5YJ3E1EA8J,299833320,TESLA,MODEL 3,2018
5YJSA1CN5D,139487631,TESLA,MODEL S,2013
JTMFB3FV9N,224676567,TOYOTA,RAV4 PRIME (PHEV),2022
1G1FX6S03H,113479124,CHEVROLET,BOLT EV,2017
1N4AZ1CP4K,2186054,NISSAN,LEAF,2019
1N4BZ1CP1K,3590800,NISSAN,LEAF,2019
KM8JFDD22S,281602597,HYUNDAI,TUCSON,2025
5YJYGDEE6L,121670678,TESLA,MODEL Y,2020
5YJ3E1EA3K,477923050,TESLA,MODEL 3,2019
5YM23CS04R,262520345,BMW,XM,2024
5YJSA1E27H,272096702,TESLA,MODEL S,2017
5YJSA1E21J,267365409,TESLA,MODEL S,2018
